Time,RichBalance,StudentBalance
0,5000,100
1,3976,117
2,3976,122
3,2952,138
4,2959,154
5,2959,159
6,1935,164
7,911,177
8,911,189
9,911,203
10,911,204
11,911,212
12,911,217
13,929,228
14,929,248
15,944,268
16,944,284
17,944,283
18,944,283
19,944,301
20,944,307
21,944,315
22,944,324
23,944,321
24,944,341
25,944,357
26,944,362
27,944,371
28,944,391
29,944,399
30,944,409
31,944,416
32,944,421
33,944,435
34,944,441
35,958,454
36,958,471
37,958,476
38,958,495
39,958,507
40,958,512
41,958,517
42,974,529
43,974,529
44,974,544
45,974,559
46,974,578
47,974,593
48,974,613
49,974,633
50,985,640
51,998,646
52,998,662
53,998,682
54,998,694
55,998,702
56,998,713
57,998,724
58,998,741
59,998,752
60,998,770
61,998,788
62,1018,805
63,1018,810
64,1018,828
65,1018,846
66,1018,863
67,1018,879
68,1018,889
69,1018,905
70,1018,910
71,1018,924
72,1018,929
73,1018,949
74,1018,963
75,1018,975
76,1018,985
77,1018,997
78,1018,1008
79,1018,1017
80,1018,1028
81,1018,1048
82,1018,1054
83,1018,1064
84,1018,1075
85,1018,1087
86,1018,1103
87,1018,1113
88,1018,1121
89,1018,1131
90,1018,1147
91,1018,1159
92,1018,1165
93,1031,1171
94,7,1177
95,7,1195
96,7,1212
97,7,1218
98,7,1232
99,7,1241
100,7,1248
101,7,1268
102,7,1277
103,18,1294
104,18,1314
105,18,1332
106,18,1341
107,18,1354
108,18,1354
109,27,1368
110,27,1385
111,27,1404
112,27,1415
113,27,1429
114,27,1444
115,27,1455
116,27,1474
117,27,1486
118,27,1493
119,27,1503
120,27,1508
121,27,1520
122,27,1520
123,27,1528
124,27,1534
125,27,1544
126,27,1552
127,27,1569
128,27,1575
129,27,1588
130,40,1605
131,40,1623
132,40,1629
133,40,1640
134,40,1652
135,40,1658
136,40,1673
137,40,1688
138,40,1699
139,56,1715
140,56,1725
141,56,1743
142,56,1756
143,56,1756
144,56,1776
145,56,1786
146,56,1798
147,56,1815
148,56,1832
149,56,1847
150,56,1865
151,56,1883
152,56,1891
153,56,1909
154,56,1909
155,56,1929
156,56,1938
157,56,1953
158,76,1959
159,76,1971
160,88,1989
161,105,2002
162,105,2022
163,105,2027
164,105,2047
165,105,2056
166,105,2061
167,105,2074
168,116,2084
169,116,2098
170,116,2110
171,116,2121
172,116,2127
173,116,2137
174,134,2148
175,134,2162
176,134,2172
177,134,2187
178,134,2207
179,134,2227
180,134,2239
181,134,2255
182,134,2260
183,134,2276
184,134,2287
185,134,2296
186,134,2301
187,134,2312
188,134,2317
189,134,2332
190,142,2345
191,142,2359
192,142,2370
193,142,2377
194,158,2395
195,158,2403
196,158,2420
197,158,2425
198,158,2422
199,158,2433
200,158,2448
201,158,2467
202,158,2479
203,158,2479
204,158,2488
205,158,2496
206,158,2503
207,167,2514
208,167,2524
209,167,2530
210,167,2550
211,167,2557
212,179,2566
213,179,2578
214,179,2598
215,179,2604
216,179,2618
217,179,2633
218,179,2631
219,179,2649
220,179,2665
221,179,2679
222,179,2679
223,179,2695
224,179,2708
225,197,2720
226,197,2732
227,197,2752
228,197,2768
229,197,2782
230,197,2798
231,197,2815
232,197,2826
233,197,2838
234,205,2846
235,217,2856
236,233,2856
237,233,2866
238,233,2877
239,233,2884
240,233,2893
241,233,2904
242,233,2913
243,233,2923
244,233,2942
245,233,2952
246,233,2961
247,233,2980
248,233,2999
249,233,3008
250,233,3018
251,233,3029
252,233,3035
253,233,3054
254,233,3070
255,233,3081
256,233,3086
257,233,3093
258,246,3109
259,246,3118
260,246,3126
261,246,3134
262,252,3145
263,252,3153
264,252,3162
265,252,3179
266,252,3189
267,252,3196
268,252,3210
269,252,3226
270,252,3231
271,252,3246
272,252,3253
273,252,3266
274,252,3279
275,252,3287
276,252,3296
277,252,3309
278,252,3322
279,252,3332
280,252,3349
281,252,3360
282,252,3371
283,252,3376
284,252,3391
285,252,3397
286,252,3405
287,252,3415
288,252,3432
289,264,3443
290,264,3453
291,264,3458
292,264,3463
293,264,3463
294,264,3470
295,264,3488
296,264,3503
297,274,3515
298,274,3515
299,274,3530
300,274,3530
301,274,3530
302,274,3547
303,274,3560
304,274,3569
305,274,3576
306,294,3587
307,294,3588
308,294,3604
309,294,3613
310,294,3625
311,294,3631
312,294,3631
313,294,3650
314,304,3656
315,304,3668
316,310,3679
317,310,3686
318,310,3692
319,310,3709
320,310,3719
321,310,3719
322,310,3724
323,310,3742
324,310,3742
325,310,3752
326,310,3757
